Date,Open,High,Low,Close,Volume
2020-01-02,5544.3120230316945,5614.702840351738,5531.890114092863,5540.17138671875,49445000
2020-01-03,5589.859260110294,5631.265625,5569.156077665441,5631.265625,47755500
2020-01-06,5565.015590200445,5589.859409799555,5540.171770601337,5577.4375,27300000
2020-01-07,5577.43700048973,5606.421454092869,5573.29636426071,5581.57763671875,45022500
2020-01-08,5523.6093516092815,5585.718902039671,5523.6093516092815,5531.890625,53692500
2020-01-09,5581.57763671875,5593.999545405809,5573.29636426071,5581.57763671875,40363500
2020-01-10,5602.281834122327,5651.969477883945,5556.734827340845,5569.15673828125,73362000
2020-01-13,5581.578601336639,5598.141149115086,5577.4379643920265,5585.71923828125,67855000
2020-01-14,5585.719424496225,5701.657262810453,5581.578787413574,5689.2353515625,93582000
2020-01-15,5689.2354365741585,5846.579648066021,5631.2665165508415,5660.2509765625,75623500
2020-01-16,5635.40711750114,5705.79794850593,5627.125843265283,5672.6728515625,88931500
2020-01-17,5664.39103125,5705.797398437499,5631.265937499999,5693.37548828125,38249500
2020-01-20,5755.485630886522,5776.188816609135,5656.110339417977,5660.2509765625,93554500
2020-01-21,5701.657852463282,5709.939127485015,5651.970202332883,5656.11083984375,103984500
2020-01-22,5676.813512969435,5709.938610054596,5660.250964426855,5664.3916015625,94311500
2020-01-23,5701.657335783306,5709.938610054596,5656.11032729121,5664.3916015625,87728000
2020-01-24,5647.828636942456,5697.516278909691,5639.54736328125,5639.54736328125,69653500
2020-01-27,5685.094787240725,5747.204344275402,5643.688415884274,5664.3916015625,39679000
2020-01-28,5660.250595070301,5668.531868801201,5594.000405223099,5622.98486328125,82615000
2020-01-29,5631.266638264555,5668.532373370717,5606.422814860446,5618.8447265625,43821000
2020-01-30,5668.530997528166,5668.530997528166,5573.29636426071,5581.57763671875,71990000
2020-01-31,5631.265884211034,5635.406520890601,5366.26513671875,5366.26513671875,163136500
2020-02-03,5366.265230735637,5453.218602529964,5275.1712221891985,5333.14013671875,149797000
2020-02-04,5440.796317915483,5482.202682587595,5399.389953243372,5465.64013671875,113316500
2020-02-05,5614.703241084696,5614.703241084696,5507.046689264487,5573.296875,123002500
2020-02-06,5581.57763671875,5614.702726550909,5531.890001970512,5581.57763671875,154693500
2020-02-07,5556.734259430474,5614.70317122781,5552.593622873521,5598.140625,82609000
2020-02-10,5598.14154039241,5618.8447265625,5490.484972307941,5618.8447265625,66578500
2020-02-11,5618.844250164201,5618.844250164201,5585.719155100594,5614.70361328125,77526500
2020-02-12,5631.265625,5631.265625,5598.140533088235,5631.265625,69971500
2020-02-13,5647.8286844739505,5647.8286844739505,5581.578494626749,5622.98486328125,49737000
2020-02-14,5614.703358907186,5627.1252689932635,5527.749988304641,5531.890625,147028500
2020-02-17,5531.8900466192335,5589.858954293387,5531.8900466192335,5565.01513671875,115319000
2020-02-18,5536.0312266616875,5565.01568334578,5523.60931665422,5544.3125,98436500
2020-02-19,5519.468679985063,5598.140776699029,5519.468679985063,5544.3125,74594000
2020-02-20,5540.172100075814,5544.31273692191,5436.6561789234265,5461.5,136724500
2020-02-21,5465.640102395125,5515.327739689626,5461.499465953916,5478.06201171875,98261000
2020-02-24,5436.65536323635,5465.639816810344,5391.108364762931,5403.5302734375,84910000
2020-02-25,5424.2339330792975,5432.515206259571,5391.1088403582025,5407.67138671875,86446500
2020-02-26,5382.828814069801,5411.813276914792,5316.57861328125,5316.57861328125,92824500
2020-02-27,5357.983315375348,5362.123951631434,5134.388957546701,5208.92041015625,129254500
2020-02-28,5134.388957546701,5208.92041015625,4997.747961095862,5208.92041015625,169946500
2020-03-02,5208.920899240594,5208.920899240594,4997.748430352462,5035.01416015625,144871500
2020-03-03,5134.389370302611,5258.608467971222,5134.389370302611,5233.7646484375,114663500
2020-03-04,5229.624217915979,5382.82777774408,5184.0772136427595,5333.14013671875,83025000
2020-03-05,5415.95337995338,5415.95337995338,5250.327894327895,5329.0,77583000
2020-03-06,5258.608752835182,5258.608752835182,5134.3896484375,5134.3896484375,77835500
2020-03-09,4968.764179991357,5001.889274524633,4790.716796875,4790.716796875,140889500
2020-03-10,4836.264438291139,4977.046108583861,4836.264438291139,4906.6552734375,133667000
2020-03-11,4927.357655582266,4952.2014756944445,4794.857281650641,4844.544921875,93204500
2020-03-12,4637.512294851619,4670.637382671987,4521.574487480329,4604.38720703125,129845500
2020-03-13,4604.38720703125,4604.38720703125,4604.38720703125,4604.38720703125,0
2020-03-16,4604.38720703125,4604.38720703125,4604.38720703125,4604.38720703125,0
2020-03-17,4550.559452056885,4558.840724945068,4240.01171875,4240.01171875,212200000
2020-03-18,4240.012,4455.325109375,3946.0267929687498,4140.63671875,180053500
2020-03-19,4136.495651934224,4136.495651934224,3850.791748046875,3850.791748046875,264419000
2020-03-20,3809.3854359160505,4459.465341827811,3581.650437029765,3921.1826171875,335132000
2020-03-23,3941.886542395598,4140.637124365124,3647.9013065656745,3668.6044921875,217843500
2020-03-24,3685.1666314019094,4136.496027832031,3685.1666314019094,3726.572998046875,253971000
2020-03-26,3850.7920005104756,4467.74684790409,3850.7920005104756,4372.51220703125,331633000
2020-03-27,4438.762349705082,4881.810457371541,4434.621713184834,4562.9814453125,269683000
2020-03-30,4538.1386345541405,4600.24819615844,4268.99720093551,4550.560546875,159964500
2020-03-31,4687.200505514706,4728.606870404412,4542.278228400735,4575.4033203125,182638500
2020-04-01,4604.387385236086,4761.731558472571,4492.590209515425,4538.13720703125,152831500
2020-04-02,4529.85707980736,4529.85707980736,4438.763061749076,4480.16943359375,136623500
2020-04-03,4521.576084792993,4579.545008957007,4442.9039734275475,4550.560546875,110506000
2020-04-06,4571.263159328684,4753.451183794682,4550.559974730275,4749.310546875,78184000
2020-04-07,4749.309749910201,5051.576194324713,4620.950026939655,4683.0595703125,149153500
2020-04-08,4683.060595399845,4687.201232531056,4538.138295807454,4666.498046875,106111500
2020-04-09,4637.51368409294,4716.185791233803,4554.700939734138,4633.373046875,89997000
2020-04-13,4587.825287642046,4649.934835759943,4538.137649147727,4554.7001953125,58043000
2020-04-14,4558.841284688775,4629.232112881064,4509.153641258925,4567.12255859375,95796000
2020-04-15,4567.122630700917,4662.357282111725,4509.15371245086,4542.27880859375,95342000
2020-04-16,4542.278402779849,4571.262859315363,4293.840203904014,4339.38720703125,176990500
2020-04-17,4389.075379824309,4509.15385719686,4372.512831221198,4492.59130859375,160935500
2020-04-20,4496.731127998074,4554.7000375671105,4413.918400042308,4434.62158203125,90744000
2020-04-21,4511.283257063045,4511.283257063045,4347.0068359375,4347.0068359375,73431000
2020-04-22,4347.0077441690955,4410.190996264577,4250.126757622692,4334.37109375,107263500
2020-04-23,4363.857648849487,4418.616480350494,4313.31103515625,4313.31103515625,105419500
2020-04-24,4313.309451219512,4330.158316263339,4144.82080078125,4144.82080078125,131149500
